STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
YBP,M,3,SNOW WC,19920501 0000,19920430 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19930101 0000,19930101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19930201 0000,19930129 0000,36.40,,INCHES
YBP,M,3,SNOW WC,19930301 0000,19930302 0000,49.60,,INCHES
YBP,M,3,SNOW WC,19930401 0000,19930330 0000,48.40,,INCHES
YBP,M,3,SNOW WC,19930501 0000,19930428 0000,27.10,,INCHES
YBP,M,3,SNOW WC,19930601 0000,19930601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19930701 0000,19930701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19940101 0000,19940101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19940201 0000,19940127 0000,10.40,,INCHES
YBP,M,3,SNOW WC,19940301 0000,19940228 0000,20.70,,INCHES
YBP,M,3,SNOW WC,19940401 0000,19940331 0000,12.10,,INCHES
YBP,M,3,SNOW WC,19940501 0000,19940429 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19940601 0000,19940601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19940701 0000,19940701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19950101 0000,19950101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19950201 0000,19950131 0000,42.50,,INCHES
YBP,M,3,SNOW WC,19950301 0000,19950228 0000,38.40,,INCHES
YBP,M,3,SNOW WC,19950401 0000,19950403 0000,56.40,,INCHES
YBP,M,3,SNOW WC,19950501 0000,19950428 0000,52.70,,INCHES
YBP,M,3,SNOW WC,19950601 0000,19950601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19950701 0000,19950701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19960101 0000,19960101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19960201 0000,19960201 0000,20.00,,INCHES
YBP,M,3,SNOW WC,19960301 0000,19960229 0000,26.00,,INCHES
YBP,M,3,SNOW WC,19960401 0000,19960328 0000,29.90,,INCHES
YBP,M,3,SNOW WC,19960501 0000,19960429 0000,19.60,,INCHES
YBP,M,3,SNOW WC,19960601 0000,19960601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19960701 0000,19960701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19970101 0000,19970101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19970201 0000,19970131 0000,30.50,,INCHES
YBP,M,3,SNOW WC,19970301 0000,19970228 0000,29.90,,INCHES
YBP,M,3,SNOW WC,19970401 0000,19970331 0000,20.40,,INCHES
YBP,M,3,SNOW WC,19970501 0000,19970429 0000,0.00,,INCHES
YBP,M,3,SNOW WC,19970601 0000,19970601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19970701 0000,19970701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19980101 0000,19980101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19980201 0000,19980129 0000,17.70,,INCHES
YBP,M,3,SNOW WC,19980301 0000,19980227 0000,37.30,,INCHES
YBP,M,3,SNOW WC,19980401 0000,19980330 0000,36.10,,INCHES
YBP,M,3,SNOW WC,19980501 0000,19980429 0000,33.10, ,INCHES
YBP,M,3,SNOW WC,19980601 0000,19980601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19980701 0000,19980701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19981001 0000,19981001 0000,---, ,INCHES
YBP,M,3,SNOW WC,19981101 0000,19981101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19981201 0000,19981201 0000,---, ,INCHES
YBP,M,3,SNOW WC,19990101 0000,19990101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19990201 0000,19990129 0000,26.00,r,INCHES
YBP,M,3,SNOW WC,19990301 0000,19990226 0000,43.80,r,INCHES
YBP,M,3,SNOW WC,19990401 0000,19990402 0000,44.70, ,INCHES
YBP,M,3,SNOW WC,19990501 0000,19990430 0000,39.00, ,INCHES
YBP,M,3,SNOW WC,19990601 0000,19990601 0000,---, ,INCHES
YBP,M,3,SNOW WC,19990701 0000,19990701 0000,---, ,INCHES
YBP,M,3,SNOW WC,19990801 0000,19990801 0000,---, ,INCHES
YBP,M,3,SNOW WC,19990901 0000,19990901 0000,---, ,INCHES
YBP,M,3,SNOW WC,19991001 0000,19991001 0000,---, ,INCHES
YBP,M,3,SNOW WC,19991101 0000,19991101 0000,---, ,INCHES
YBP,M,3,SNOW WC,19991201 0000,19991201 0000,---, ,INCHES
YBP,M,3,SNOW WC,20000101 0000,20000101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20000201 0000,20000202 0000,17.70, ,INCHES
YBP,M,3,SNOW WC,20000301 0000,20000301 0000,35.80, ,INCHES
YBP,M,3,SNOW WC,20000401 0000,20000330 0000,23.90, ,INCHES
YBP,M,3,SNOW WC,20000501 0000,20000501 0000,1.10, ,INCHES
YBP,M,3,SNOW WC,20000601 0000,20000601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20000701 0000,20000701 0000,---, ,INCHES
YBP,M,3,SNOW WC,20000801 0000,20000801 0000,---, ,INCHES
YBP,M,3,SNOW WC,20000901 0000,20000901 0000,---, ,INCHES
YBP,M,3,SNOW WC,20010101 0000,20010101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20010201 0000,20010131 0000,10.40, ,INCHES
YBP,M,3,SNOW WC,20010301 0000,20010228 0000,17.30, ,INCHES
YBP,M,3,SNOW WC,20010401 0000,20010330 0000,11.60, ,INCHES
YBP,M,3,SNOW WC,20010501 0000,20010430 0000,1.90, ,INCHES
YBP,M,3,SNOW WC,20010601 0000,20010601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20020101 0000,20020101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20020201 0000,20020131 0000,22.90,r,INCHES
YBP,M,3,SNOW WC,20020301 0000,20020228 0000,24.90, ,INCHES
YBP,M,3,SNOW WC,20020401 0000,20020329 0000,28.70, ,INCHES
YBP,M,3,SNOW WC,20020501 0000,20020430 0000,6.40, ,INCHES
YBP,M,3,SNOW WC,20020601 0000,20020601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20030101 0000,20030101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20030201 0000,20030131 0000,21.10, ,INCHES
YBP,M,3,SNOW WC,20030301 0000,20030228 0000,23.00, ,INCHES
YBP,M,3,SNOW WC,20030401 0000,20030331 0000,19.40, ,INCHES
YBP,M,3,SNOW WC,20030501 0000,20030430 0000,24.40, ,INCHES
YBP,M,3,SNOW WC,20030601 0000,20030601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20040101 0000,20040101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20040201 0000,20040130 0000,23.70, ,INCHES
YBP,M,3,SNOW WC,20040301 0000,20040304 0000,37.30, ,INCHES
YBP,M,3,SNOW WC,20040401 0000,20040331 0000,24.40, ,INCHES
YBP,M,3,SNOW WC,20040501 0000,20040430 0000,0.70, ,INCHES
YBP,M,3,SNOW WC,20040601 0000,20040601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20050101 0000,20050101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20050201 0000,20050131 0000,28.00, ,INCHES
YBP,M,3,SNOW WC,20050301 0000,20050225 0000,31.90, ,INCHES
YBP,M,3,SNOW WC,20050401 0000,20050331 0000,38.70, ,INCHES
YBP,M,3,SNOW WC,20050501 0000,20050429 0000,30.90, ,INCHES
YBP,M,3,SNOW WC,20050601 0000,20050601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20060101 0000,20060101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20060201 0000,20060131 0000,15.00, ,INCHES
YBP,M,3,SNOW WC,20060301 0000,20060301 0000,14.00, ,INCHES
YBP,M,3,SNOW WC,20060401 0000,20060330 0000,32.50, ,INCHES
YBP,M,3,SNOW WC,20060501 0000,20060501 0000,33.60, ,INCHES
YBP,M,3,SNOW WC,20060601 0000,20060601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20070101 0000,20070101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20070201 0000,20070131 0000,7.00, ,INCHES
YBP,M,3,SNOW WC,20070301 0000,20070301 0000,19.60, ,INCHES
YBP,M,3,SNOW WC,20070401 0000,20070330 0000,10.70, ,INCHES
YBP,M,3,SNOW WC,20070501 0000,20070430 0000,0.00,N,INCHES
YBP,M,3,SNOW WC,20070601 0000,20070601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20080101 0000,20080101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20080201 0000,20080201 0000,---, ,INCHES
YBP,M,3,SNOW WC,20080301 0000,20080229 0000,31.30,r,INCHES
YBP,M,3,SNOW WC,20080401 0000,20080328 0000,26.00, ,INCHES
YBP,M,3,SNOW WC,20080501 0000,20080430 0000,2.70, ,INCHES
YBP,M,3,SNOW WC,20080601 0000,20080601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20090101 0000,20090101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20090201 0000,20090130 0000,11.60, ,INCHES
YBP,M,3,SNOW WC,20090301 0000,20090227 0000,22.40, ,INCHES
YBP,M,3,SNOW WC,20090401 0000,20090331 0000,28.00, ,INCHES
YBP,M,3,SNOW WC,20090501 0000,20090501 0000,6.90, ,INCHES
YBP,M,3,SNOW WC,20090601 0000,20090601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20100101 0000,20100101 0000,---, ,INCHES
YBP,M,3,SNOW WC,20100201 0000,20100129 0000,21.60, ,INCHES
YBP,M,3,SNOW WC,20100301 0000,20100225 0000,25.30, ,INCHES
YBP,M,3,SNOW WC,20100401 0000,20100403 0000,33.60, ,INCHES
YBP,M,3,SNOW WC,20100501 0000,20100430 0000,31.00, ,INCHES
YBP,M,3,SNOW WC,20100601 0000,20100601 0000,---, ,INCHES
YBP,M,3,SNOW WC,20110101 0000,20110101 0000,---, ,INCHES
